snapshot_time_utc,slug,ticker,expiry,strike,spot_price,implied_volatility,T_years,risk_neutral_prob
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,230.0,256.5799865722656,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,235.0,256.5799865722656,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,240.0,256.5799865722656,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,245.0,256.5799865722656,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,250.0,256.5799865722656,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,255.0,256.5799865722656,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,260.0,256.5799865722656,0.1328212,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,265.0,256.5799865722656,0.2578199,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,270.0,256.5799865722656,0.3828187,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,275.0,256.5799865722656,0.5078174,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,280.0,256.5799865722656,0.5781292,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,285.0,256.5799865722656,0.6875031,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,aapl-above-on-january-16-2026,AAPL,2026-01-16 21:00:00+00:00,290.0,256.5799865722656,0.7812522,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,amzn-above-on-january-16-2026,AMZN,2026-01-16 21:00:00+00:00,215.0,238.08999633789062,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,amzn-above-on-january-16-2026,AMZN,2026-01-16 21:00:00+00:00,230.0,238.08999633789062,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,amzn-above-on-january-16-2026,AMZN,2026-01-16 21:00:00+00:00,235.0,238.08999633789062,1e-05,0.0001170746338758334,1.0
2026-01-16 19:58:25.405534+00:00,amzn-above-on-january-16-2026,AMZN,2026-01-16 21:00:00+00:00,240.0,238.08999633789062,0.0976653,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,amzn-above-on-january-16-2026,AMZN,2026-01-16 21:00:00+00:00,245.0,238.08999633789062,0.2578199,0.0001170746338758334,0.0
2026-01-16 19:58:25.405534+00:00,amzn-above-on-january-16-2026,AMZN,2026-01-16 21:00:00+00:00,250.0,238.08999633789062,0.3750062,0.0001170746338758334,0.0
